(364,505)
(431,254)
(617,948)
(117,664)
(271,823)
(311,405)
(651,968)
(595,193)
(250,791)
(114,297)
(130,657)
(676,119)
(307,665)
(757,115)
(800,484)
(679,186)
(699,53)
(332,602)
(393,425)
(223,376)
(598,633)
(200,581)
(627,543)
(884,432)
(896,310)
(49,151)
(777,855)
(981,680)
(731,718)
(80,831)
(732,887)
(176,994)
(436,323)
(312,150)
(156,680)
(768,550)
(713,94)
(173,537)
(999,212)
(966,107)
(246,450)
(669,517)
(833,144)
(890,267)
(255,376)
(504,930)
(558,410)
(407,999)
(750,449)
(407,714)
(305,743)
(424,849)
(423,458)
(860,398)
(943,958)
(412,371)
(482,638)
(831,126)
(157,741)
(307,860)
(649,820)
(275,560)
(936,375)
(60,815)
(241,128)
(922,840)
(797,221)
(876,802)
(987,371)
(918,15)
(323,693)
(408,140)
(850,606)
(661,471)
(439,437)
(151,663)
(954,887)
(204,473)
(295,834)
(321,586)
(848,598)
(79,54)
(856,657)
(96,604)
(324,191)
(418,472)
(824,756)
(539,158)
(713,145)
(990,164)
(454,425)
(186,780)
(998,102)
(103,590)
(741,528)
(163,283)
(980,471)
(148,841)
(742,591)
(40,958)
(280,999)
(161,922)
(296,159)
(664,400)
(589,575)
(598,449)
(168,826)
(68,484)
(767,665)
(323,94)
(937,993)
(920,949)
(606,26)
(854,484)
(732,170)
(957,812)
(573,961)
(99,37)
(333,746)
(60,228)
(89,999)
(359,707)
(116,922)
(320,991)
(493,591)
(91,783)
(806,374)
(958,335)
(509,540)
(217,966)
(247,428)
(138,420)
(476,605)
(468,911)
(255,269)
(36,834)
(739,400)
(694,323)
(454,448)
(272,610)
(738,477)
(876,457)
(259,75)
(483,391)
(153,986)
(591,201)
(738,458)
(5,483)
(499,582)
(163,315)
(948,693)
(831,988)
(742,252)
(71,665)
(305,506)
(611,831)
(382,736)
(446,802)
(774,486)
(755,126)
(961,642)
(858,593)
(928,842)
(263,295)
(105,256)
(712,214)
(502,844)
(321,154)
(823,327)
(340,443)
(96,564)
(851,26)
(207,207)
(675,26)
(327,650)
(259,233)
(988,958)
(251,348)
(914,701)
(787,646)
(651,39)
(341,73)
(471,980)
(623,630)
(84,356)
(323,42)
(23,522)
(83,389)
(142,536)
(928,118)
(341,471)
(130,941)
(274,732)
(519,641)
(93,21)
(419,474)
(865,554)
(386,757)
(271,650)
(345,482)
(855,683)
(185,844)
(637,867)
(470,964)
(627,842)
(94,30)
(622,991)
(503,214)
(513,740)
(366,638)
(703,997)
(65,386)
(674,585)
(971,693)
(335,902)
(191,675)
(522,174)
(484,524)
(178,617)
(727,829)
(839,249)
(104,433)
(692,606)
(24,900)
(439,325)
(491,743)
(799,106)
(812,794)
(925,341)
(365,784)
(275,690)
(447,489)
(77,201)
(733,315)
(850,854)
(421,536)
(722,332)
(143,275)
(933,154)
(746,186)
(376,137)
(229,429)
(169,569)
(73,254)
(84,140)
(976,738)
(350,459)
(591,862)
(366,513)
(878,543)
(922,30)
(767,176)
(815,681)
(87,245)
(535,470)
(233,814)
(127,180)
(172,295)
(377,710)
(347,365)
(626,240)
(213,25)
(429,995)
(607,599)
(422,632)
(660,585)
(106,576)
(239,746)
(248,759)
(768,310)
(962,866)
(109,205)
(503,3)
(57,538)
(111,110)
(731,702)
(418,393)
(256,197)
(703,130)
(264,329)
(743,344)
(727,235)
(236,130)
(473,181)
(121,297)
(31,555)
(486,593)
(365,633)
(724,381)
(166,268)
(133,803)
(463,838)
(317,193)
(410,395)
(504,778)
(387,981)
(324,685)
(604,345)
(769,189)
(544,481)
(453,120)
(270,73)
(412,833)
(133,896)
(416,503)
(198,432)
(925,673)
(872,81)
(811,451)
(969,413)
(287,542)
(4,533)
(819,16)
(63,904)
(496,817)
(388,913)
(532,353)
(883,756)
(363,561)
(940,613)
(582,742)
(230,336)
(390,297)
(258,984)
(67,720)
(490,457)
(978,639)
(604,711)
(879,235)
(179,65)
(23,319)
(789,115)
(231,932)
(619,377)
(892,277)
(668,73)
(634,416)
(353,482)
(802,411)
(364,145)
(738,946)
(198,712)
(740,158)
(904,309)
(884,292)
(683,391)
(226,37)
(194,461)
(885,707)
(166,956)
(692,209)
(828,644)
(691,598)
(759,166)
(144,589)
(211,314)
(471,19)
(378,424)
(980,381)
(538,166)
(434,460)
(575,162)
(528,793)
(406,843)
(753,396)
(322,908)
(759,320)
(86,675)
(91,996)
(262,908)
(250,843)
(629,107)
(813,596)
(443,525)
(568,373)
(562,661)
(235,124)
(268,919)
(460,967)
(71,173)
(502,446)
(724,103)
(206,702)
(152,874)
(784,415)
(648,341)
(842,838)
(334,67)
(964,285)
(985,585)
(730,567)
(607,64)
(228,144)
(119,98)
(595,33)
(65,656)
(831,326)
(228,359)
(343,730)
(528,263)
(120,507)
(679,201)
(634,373)
(899,586)
(943,417)
(304,754)
(813,371)
(447,797)
(952,912)
(746,848)
(73,665)
(725,51)
(364,687)
(844,216)
(887,733)
(906,851)
(989,853)
(166,556)
(67,233)
(736,874)
(314,249)
(770,98)
(755,62)
(250,569)
(637,410)
(868,919)
(587,834)
(41,503)
(266,118)
(709,366)
(955,288)
(990,858)
(409,113)
(456,740)
(810,186)
(263,285)
(705,640)
(742,869)
(651,369)
(661,360)
(432,713)
(950,192)
(992,151)
(497,396)
(86,348)
(747,783)
(158,203)
(229,945)
(968,325)
(101,882)
(939,939)
(72,618)
(664,824)
(956,999)
(269,592)
(32,322)
(610,414)
(513,563)
(442,237)
(39,572)
(753,637)
(46,122)
(827,817)
(559,203)
(823,69)
(50,852)
(675,551)
(287,990)
(765,884)
(408,139)
(759,374)
(354,67)
(291,838)
(888,306)
(463,460)
(975,594)
(765,187)
(960,340)
(665,454)
(570,640)
(97,557)
