Item,Category,Price
Chicken Biryani,Indian,200
Paneer Tikka,Indian,180
Butter Chicken,Indian,220
Chana Masala,Indian,150
Aloo Gobi,Indian,140
Dal Makhani,Indian,160
Veg Biryani,Indian,180
Palak Paneer,Indian,170
Tandoori Chicken,Indian,200
Lamb Rogan Josh,Indian,240
Chicken Korma,Indian,220
Chicken Tikka Masala,Indian,220
Samosa,Indian,50
Mutton Biryani,Indian,240
Pulao Rice,Indian,120
Naan,Indian,30
Roti,Indian,20
Chapati,Indian,20
Dosa,Indian,80
Idli,Indian,50
Vada,Indian,50
Sambhar,Indian,60
Rasam,Indian,60
Upma,Indian,70
Aloo Paratha,Indian,80
Paneer Paratha,Indian,90
Chole Bhature,Indian,100
Pav Bhaji,Indian,100
Dahi Bhalla,Indian,80
Pakora,Indian,70
Kachori,Indian,50
Chaat,Indian,70
Lassi,Indian,50
Butter Naan,Indian,40
Cheese Naan,Indian,60
Garlic Naan,Indian,50
Onion Kulcha,Indian,60
Butter Roti,Indian,30
Butter Chapati,Indian,30
Keema Naan,Indian,70
Mutter Paneer,Indian,160
Chicken Curry,Indian,200
Fish Curry,Indian,240
Mutton Curry,Indian,240
Prawn Curry,Indian,260
Bhindi Masala,Indian,120
Gobi Manchurian,Chinese,150
Hakka Noodles,Chinese,180
Schezwan Fried Rice,Chinese,180
Veg Spring Roll,Chinese,100
Chicken Spring Roll,Chinese,120
Chilli Chicken,Chinese,200
Schezwan Chicken,Chinese,220
Veg Manchurian,Chinese,150
Sweet Corn Soup,Chinese,80
Hot and Sour Soup,Chinese,80
Tomato Soup,Chinese,70
Chicken Chow Mein,Chinese,180
Veg Fried Rice,Chinese,150
Chicken Fried Rice,Chinese,180
Mushroom Fried Rice,Chinese,150
Egg Fried Rice,Chinese,150
Veg Noodles,Chinese,150
Chicken Noodles,Chinese,180
Mushroom Noodles,Chinese,150
Egg Noodles,Chinese,150
Prawn Noodles,Chinese,220
Fried Momos,Chinese,100
Chicken Momos,Chinese,120
Pork Momos,Chinese,140
Veg Momos,Chinese,80
Chowmein,Chinese,150
Gobi Manchurian,Chinese,150
Chicken 65,Indian,180
Papad,Indian,20
Raita,Indian,50
Name,Category,Price
Veggie Burger,Vegetarian,80
Pasta Italiano,Italian,150
Chicken Biryani,Indian,220
Veg Fried Rice,Chinese,120
Cheese Pizza,Italian,200
Chicken Shawarma,Arabic,130
Chicken Caesar Salad,Continental,180
Butter Chicken,Indian,200
Pepperoni Pizza,Italian,220
Chicken Tikka Masala,Indian,220
Hakka Noodles,Chinese,130
Beef Burger,Non-Vegetarian,120
Fish and Chips,Continental,200
Chana Masala,Indian,100
Pad Thai,Thai,180
Tandoori Chicken,Indian,180
Sushi Rolls,Japanese,250
Mutton Rogan Josh,Indian,240
Samosa,Indian,50
Beef Kebab,Arabic,150
Spaghetti Bolognese,Italian,180
Schezwan Fried Rice,Chinese,150
Hummus and Pita,Arabic,100
Fish Curry,Indian,220
Chicken Satay,Thai,150
Veg Manchurian,Chinese,120
Tacos, Mexican,200
Kung Pao Chicken,Chinese,220
Paneer Tikka,Indian,160
Pho, Vietnamese,180
Kabsa, Arabic,250
Margherita Pizza,Italian,150
Chicken Fajitas,Mexican,180
Butter Naan,Indian,50
Stir-Fried Vegetables,Chinese,120
Burrito,Mexican,200
Sushi Platter,Japanese,500
Falafel Wrap,Arabic,120
Aloo Gobi,Indian,100
Lamb Gyro,Arabic,200
Spicy Fried Chicken,Korean,180
Mango Lassi,Indian,80
Beef Stir-Fry,Chinese,220
Mushroom Risotto,Italian,180
Shrimp Scampi,Continental,250
Chilli Chicken,Chinese,180
Aloo Paratha,Indian,70
Biryani Platter,Indian,300
Kebab Platter,Arabic,300
Chicken Enchiladas,Mexican,220
Tom Yum Soup,Thai,150
